company_a,industry_a,country_a,source_a,company_b,industry_b,country_b,source_b,label
1&1,Telecommunication; Internet,Germany,companiesMarketCap_dataset,1&1 AG,,Germany,disfold-com,1
51job,Industries; Technology; Outsourcing and Staffing,China,valueToday_dataset,"51job, Inc.",,China,disfold-com,1
ABN AMRO,Financials,,MalPatSaj-wikipedia-org,ABN AMRO Bank N.V.,,Netherlands,disfold-com,1
AMPLUS,Technology,Japan,ft-com,AMPLUS SOLAR,Internet,,AmbitionBox,0
Acer,Tech,Taiwan,companiesMarketCap_dataset,Acer Inc,Technology and Communications,,output_globaldata,1
Adani Solar,Power,,AmbitionBox,Adani Total Gas,Energy; Oil&Gas; Utility companies,India,companiesMarketCap_dataset,1
Advantech Co. Ltd,,Taiwan,disfold-com,Advantest,Industrial Goods,Japan,ft-com,0
"Agora, Inc.",Software and IT,China,valueToday_dataset,Agora.io,Software; Tech,China,companiesMarketCap_dataset,1
Airports of Thailand,,Thailand,MalPatSaj-forbes-com,Airports of Thailand Public Company Ltd,,Thailand,disfold-com,1
Alchemy,Fintech,United States,DDD-cbinsight-com,Alchemy Careers,Computer Software,CA,DDD-teamblind-com,1
Alliance Healthcare Group Ltd,,Singapore,disfold-com,Alliance Healthcare Italia Distribuzione Spa,Wholesale Trade,ITALY,hitHorizons_dataset,0
Arca Continental,,Mexico,MalPatSaj-forbes-com,"Arca Continental, S.A.B. de C.V.",,NL,disfold-com,1
Asahi,Beer,,campaignindia,Asahi Group,Beverages; Alcoholic beverages,Japan,companiesMarketCap_dataset,1
Atlas Corp.,Financial Services; Asset Management,Hong Kong,valueToday_dataset,Atlas Cycles,Automobile,,AmbitionBox,0
Autogrill,Consumer Cyclical; Restaurants,Italy,valueToday_dataset,Autogrill Italia Spa,Retail Trade,ITALY,hitHorizons_dataset,1
BAIC Motor,,China,MalPatSaj-forbes-com,BAIC Motor Corp Ltd,,China,disfold-com,1
Balaji Telefilms,Entertainment,India,companiesMarketCap_dataset,Balaji Wafers,Food Processing,,AmbitionBox,0
Bangkok Airways,Airlines; Travel; Transportation,Thailand,companiesMarketCap_dataset,Bangkok Airways Public Company Ltd,,Thailand,disfold-com,1
Bechtel Corp,Construction,,output_globaldata,Bechtle,Technology,,MalPatSaj-wikipedia-org,0
Bid Corp Ltd,Wholesale,,output_globaldata,Bid Corporation,Consumer Defensive; Food Chains / Distributor; Food Service,South Africa,valueToday_dataset,1
Borussia Dortmund,Football,Germany,companiesMarketCap_dataset,Borussia Dortmund GmbH & Co KGaA,,Germany,disfold-com,1
Bridgestone Corporation,Consumer Cyclical; Automobile; Automobile Parts; Tyres,Japan,valueToday_dataset,Bridgestone Europe Nv Sa,Manufacturing,ITALY,hitHorizons_dataset,0
Brookfield Infrastructure Partners LP,Construction,,output_globaldata,Brookfield Office Properties,Real Estate; Property Investments; Commercial Properties,USA,valueToday_dataset,0
C.H. Robinson,,United States,MalPatSaj-forbes-com,C.H. Robinson Worldwide Inc,Transport and Logistics,,output_globaldata,1
CMC Markets plc,,United Kingdom,disfold-com,CMC Materials Inc,Technology and Communications,,output_globaldata,0
Cadence Bancorporation,Financial Services; Banking Services,USA,valueToday_dataset,Cadence Bank,,United States,MalPatSaj-forbes-com,1
Capelli,,France,disfold-com,Capelli For You,Beauty,Italy,ft-com,0
Cargoair,Industrials,,MalPatSaj-wikipedia-org,Cargojet,Airlines; Transportation,Canada,companiesMarketCap_dataset,0
Celebrity Cruises,Travel & Tourism,,AmbitionBox,Celeritas,Transport,Spain,ft-com,0
Chico's,Clothing; Retail,USA,companiesMarketCap_dataset,Chico's FAS Inc,Retailing,,output_globaldata,1
China Gas,Oil&Gas; Energy,China,companiesMarketCap_dataset,China Gas Holdings,,Hong Kong,MalPatSaj-forbes-com,1
